latitude,longitude,land_type
-3.22698877,-0.3565418,0.0
-1.49620906,0.4167301,1.0
0.99572617,-0.88749048,1.0
0.63344658,-1.89860464,1.0
-0.07621841,-0.79473028,1.0
1.17452865,-0.82472555,0.0
2.3711104,-5.92899532,0.0
1.21006192,-1.04787648,1.0
-3.97875572,-2.02252081,0.0
1.44483391,2.32499133,0.0
-1.01456333,-0.93010203,1.0
1.05981408,1.10193473,1.0
-1.47281611,-1.76075678,1.0
1.38165232,-1.96478123,1.0
1.75542449,1.89913274,1.0
-0.05162259,1.99953378,1.0
1.0425942,-1.12548099,1.0
1.314799,-2.07394335,1.0
1.61067612,-3.23870315,0.0
-0.97411555,-2.62384854,1.0
2.06834658,-0.87909217,1.0
-1.13257327,-1.28151826,1.0
0.98534975,-2.63487245,1.0
-4.16592279,-0.68458092,0.0
3.65304024,3.72621083,0.0
1.41341057,-0.36752067,1.0
0.66349734,1.7966936,1.0
-0.06361319,-1.0298538,1.0
-1.7476456,-0.94484447,0.0
-6.13107521,-2.81446002,0.0
-4.07416054,0.40286069,0.0
2.92090237,-1.01781998,0.0
2.28230535,-1.26468604,0.0
0.15822301,2.57453287,1.0
0.913684,5.96886831,0.0
-2.34297397,-0.52342841,1.0
1.40766425,-0.52691626,1.0
-1.28784527,-3.21495404,0.0
1.73250958,-0.80687322,1.0
-2.80435416,-3.03125955,0.0
-5.93810214,2.23241027,0.0
3.74243646,2.57199023,0.0
-3.93910448,2.42439748,0.0
0.3525107,-1.38893119,0.0
0.37022726,-1.81658228,1.0
1.0121759,-0.23309306,0.0
-0.4722516,-3.70810823,0.0
1.5435693,2.64698659,0.0
0.1088821,0.00257182,1.0
2.27690693,-1.27143164,1.0
1.28686627,1.20508886,1.0
3.49524958,-0.41833234,0.0
-0.92261482,-2.81460903,1.0
0.36423929,-1.95528725,1.0
0.29980671,2.72172978,1.0
6.9689029,-2.88311886,0.0
2.92166974,0.76432775,0.0
1.33992868,2.23501306,1.0
-1.72260818,-3.71346244,0.0
2.42248292,-1.21220408,1.0
-0.57765476,0.41566301,1.0
3.74277856,-0.35518147,0.0
-0.82944833,0.62008201,0.0
1.06297197,3.19740529,0.0
-0.15438527,2.49972872,1.0
-0.59115326,0.19133871,1.0
-1.87265113,-1.35765128,1.0
-1.86088076,-0.29352879,1.0
4.9383892,-1.45794241,0.0
0.09351946,1.10525041,1.0
0.03582937,0.53713349,0.0
-2.33872942,-3.11422842,0.0
0.2127336,-0.0008709,1.0
3.54733309,-0.19474063,0.0
2.84402841,-3.85216866,0.0
1.96800346,2.12745539,1.0
-0.23619822,0.79705875,1.0
-0.23025994,-5.76147346,0.0
0.65609738,3.50611917,0.0
-1.68448618,-1.33360952,1.0
2.9791645,1.66877532,0.0
-0.58595699,-0.39102102,1.0
1.6584379,0.16448817,1.0
-1.82138652,0.1302855,1.0
2.63118481,-1.00194241,1.0
-2.14352514,0.03325119,1.0
0.18424593,0.79078396,1.0
3.04304898,-2.95370731,0.0
-1.50093994,0.55175558,1.0
2.20133241,0.58702361,1.0
0.19334361,-2.81575351,1.0
-0.53605851,0.46784337,1.0
1.65002354,-1.35125679,0.0
0.04430099,-0.7454976,1.0
0.18770143,-1.57722078,0.0
0.64243651,-0.77776148,1.0
3.76588752,1.69007031,0.0
3.52897212,-2.13771462,0.0
1.9389945,-2.68458682,0.0
1.22056418,-2.88288016,0.0
1.47637043,3.35429724,0.0
2.83285658,2.44375799,0.0
0.29321592,0.67075353,0.0
1.56662944,-1.75982099,1.0
1.42142483,-0.90447345,0.0
3.23048136,-8.14798272,0.0
1.93368316,-3.63115165,0.0
2.51173763,-1.72590289,0.0
-0.60503477,1.41545106,0.0
-2.77207299,0.17018259,1.0
0.0973924,-6.87807602,0.0
3.71559334,-1.32557252,0.0
-0.7630911,-1.84230316,1.0
1.47481297,0.89348961,1.0
-0.10151483,3.95019555,0.0
3.19781294,2.68066624,0.0
-0.47838907,0.12318671,0.0
-2.70152165,-1.5091854,0.0
-2.11128918,-3.80151334,0.0
-3.86553762,2.39685081,0.0
-0.83144702,-0.6753601,1.0
0.06781622,-1.78883257,0.0
0.27463144,3.57635194,0.0
1.74954093,-5.29663372,0.0
0.78561083,3.19075106,0.0
0.15842603,0.52240448,1.0
3.14812815,-0.78000685,0.0
0.15592773,-4.53143057,0.0
-1.86723762,1.73450795,1.0
-0.15506997,-2.25407814,0.0
-1.59045424,-1.38034664,1.0
1.29946789,0.3640232,1.0
-0.09924847,-1.14262972,1.0
-1.91973547,1.53302897,1.0
-2.34761193,-2.13350277,0.0
-1.06802774,-0.43609685,1.0
-0.881978,-4.84958962,0.0
-3.34510094,2.90882321,0.0
-4.89611587,-4.91733026,0.0
-2.30977162,1.70956413,0.0
-0.00309461,-2.69957577,0.0
-2.32527492,-0.00607561,1.0
-2.04224811,2.11420107,0.0
0.16787882,0.84264403,1.0
2.16542078,-3.96687101,0.0
-1.50543917,-0.8119979,1.0
0.4565933,-1.12888377,0.0
0.46761757,-3.05345118,0.0
2.95107708,-1.7994502,0.0
-3.23462952,-1.1706027,0.0
2.81881515,-0.02692299,1.0
1.11970936,-1.38484514,1.0
-1.09467544,-1.3505529,1.0
-4.64211057,-4.1366637,0.0
-1.21134431,-1.94296558,1.0
-0.76109387,1.09761149,1.0
3.23282119,-2.38692145,0.0
0.08871271,-2.24515679,1.0
4.06792703,-2.74650392,0.0
0.98778064,-1.4658084,1.0
-2.05190694,-3.15381773,0.0
1.38756335,-2.88651986,0.0
-0.88566247,-2.51651241,1.0
3.0313104,0.02773797,0.0
-0.761646,-2.00386692,0.0
2.74101475,1.52458699,0.0
-0.9550756,3.57565791,0.0
2.35313966,-0.89327554,0.0
-3.23004855,0.83689942,0.0
-1.31260665,-1.04813888,0.0
3.15830336,-0.22388292,0.0
-2.78124581,5.0817346,0.0
1.93395046,1.95658111,1.0
-1.82717596,-1.85906328,0.0
-3.4780339,-2.3887212,0.0
0.85903706,-0.97223009,0.0
1.27754106,-2.67098968,1.0
1.70698436,-1.11573844,1.0
1.36905575,-0.92463976,1.0
-2.04741333,1.82603257,1.0
-2.90031856,1.53581925,0.0
2.15971875,-0.71940871,1.0
-1.9454036,-2.59047151,0.0
-1.40675535,2.27382982,1.0
1.52359851,2.80926527,0.0
-2.6592066,-2.90582052,0.0
5.09696597,4.84845274,0.0
2.56640031,-1.05207436,1.0
-1.56215158,0.31932282,1.0
0.22410693,-4.57896997,0.0
-2.71179791,1.78381312,0.0
-0.45904488,-2.91079551,1.0
-1.12139815,-2.64698562,1.0
1.44465378,1.56459196,1.0
1.89689213,-1.32822228,0.0
0.79054457,0.93988777,1.0
-1.3927789,-0.99979416,1.0
-3.26227616,1.55745556,0.0
0.759303,1.94532778,1.0
4.51568462,-0.53728238,0.0